description,category,amount
Adobe Creative Cloud pro plan,Subscription,13.48
Factor monthly box,Subscription,34.85
Dropbox storage plan,Subscription,100.34
Dropbox upgrade,Subscription,18.26
family plan at Tidal,Subscription,7.55
Substack subscription,Subscription,23.17
extra storage,Subscription,12.6
yearly fee,Subscription,95.85
Costco Membership membership,Subscription,125.27
HelloFresh,Subscription,41.21
monthly membership,Subscription,15.57
Blue Apron auto ship,Subscription,54.01
The Economist monthly subscription,Subscription,4.05
Audible family plan,Subscription,6.33
SiriusXM student plan,Subscription,93.86
annual membership,Subscription,64.49
Microsoft 365,Subscription,52.19
Box,Subscription,23.71
Dollar Shave Club,Subscription,48.89
Chewy subscription box,Subscription,83.72
Grammarly Premium monthly fee,Subscription,25.27
Spotify,Subscription,10.43
Tidal annual plan,Subscription,13.83
family plan,Subscription,10.92
Spotify annual plan,Subscription,18.68
monthly fee at Adobe,Subscription,11.34
cell phone plan,Subscription,7.34
Orange Theory monthly dues,Subscription,114.04
Patreon,Subscription,23.22
membership renewal at Walmart+,Subscription,63.93
Prime Video,Subscription,22.66
icloud storage,Subscription,134.64
subscription,Subscription,137.04
Substack monthly pledge,Subscription,28.64
Spotify monthly fee,Subscription,6.82
Google One monthly storage,Subscription,13.99
Substack membership,Subscription,13.67
annual renewal,Subscription,18.72
gym dues,Subscription,8.66
Audible premium,Subscription,7.44
Dropbox monthly storage,Subscription,14.87
cloud storage,Subscription,10.66
digital subscription at Patreon,Subscription,21.83
